id,date,tweet,retweet_count,like_count
1348638807931953156,2021-01-11 14:32:02+00:00,"Rządzie ‼️ Zróbcie PULĘ SZCZEPIEŃ NA #COVID PŁATNYCH ‼️Bo czekając aż chętni się sami zgłoszą w określonych grupach nic nie osiągnięcie ‼️ Ja mogłabym zaszczepić się już dzisiaj, a nie jak pójdzie w tym tempie, za 10 lat ‼️
#KoronawirusWPolsce
#Janda
#Pazura
#SzczepimySię",0,2
1348598273335062529,2021-01-11 11:50:58+00:00,Czy w ramach #spispowrzechny #2021 nie można by od razu szczepić? Do kwietnia byłoby po sprawie...XD #covid #szczepimysie #szczepionka,0,0
1348582754238275584,2021-01-11 10:49:18+00:00,"Szwagierka 30.12:
- ""Wpadajcie na Sylwka do nas, przestańcie panikować, Covid to ściema, mam nadzieję, że na szczepionki nie dacie się nabrać"".

Szwagierka dziś:
- ""Uważajcie na siebie, ten wirus to masakra, nie życzę największemu wrogowi"".

🤷‍♂️🤷‍♂️ #szczepimysie #COVID19",3,96
1348377893156610049,2021-01-10 21:15:16+00:00,"Jutro kolejna dostawa 360 tysięcy dawek szczepionek przeciwko Covid-19 firmy Pfizer
#szczepionka #szczepimysie #Szczepienia",0,0
1348356850337656838,2021-01-10 19:51:39+00:00,Szczepienia na covid idą dobrze. Już zaszczepiono o 200k więcej ludzi niż przez 8 lat rządów PO PSL. #SzczepimySie,0,0
1348321835860029440,2021-01-10 17:32:30+00:00,ludzie z Torunia!! co jest otwarte mimo pandemii na starym rynku? #GOT7FOREVER #fitstyczen #Covid-19 #tweetme #mojcrush #SzczepimySie #Covid_19 #rt #skijumpingfamily,3,1
1348272250701701121,2021-01-10 14:15:28+00:00,"Sonda!
Jak myślicie, czy JPII, podobnie jak Franciszek, nawoływałby do szczepienia na #Covid?

#SzczepimySię",0,0
1347528665370931201,2021-01-08 13:00:44+00:00,"Miałem covid, mam przeciwciała. Dlaczego mam się szczepić? Nie kumam tego... #SzczepimySie #koronawirus #koronawiruspolska #COVID19",0,0
1347507493728104450,2021-01-08 11:36:36+00:00,Europejska Agencja Leków (EMA) zatwierdziła pobieranie sześciu dawek z każdej fiolki szczepionki przeciw Covid-19 Pfizer/BioNTech. (PAP) #koronawirus #COVID19 #szczepimysie,2,4
1347451722743111680,2021-01-08 07:54:59+00:00,"PAP: Szczepionka przeciwko Covid-19, opracowana przez amerykański koncern Pfizer i niemiecką firmę BioNTech jest też skuteczna wobec niedawno odkrytych w Wlk.Brytanii i RPA mutacji koronawirusa - zapewniło kierownictwo koncernu w oparciu o wstępne studium badawcze.
#SzczepimySię",11,39
1346796007317790720,2021-01-06 12:29:25+00:00,Europejska Agencja Leków wydała pozytywną opinię ws. dopuszczenia do obrotu w UE szczepionki przeciwko COVID-19 firmy Moderna (PAP) #koronawirus #szczepimysie,2,3
1346530835277770754,2021-01-05 18:55:43+00:00,"Wczoraj na #covid zaszczepiła się też moja żona (lekarka). Dzieci niestety się nie kwalifikują, ale dzięki temu są pośrednio zabezpieczone - tak działa odporność grupowa w skali mikro😁

Aha, żona karmi piersią - na razie i ona, i niemowlak bez zastrzeżeń😉

#SzczepimySię",0,62
1346481911904915457,2021-01-05 15:41:18+00:00,"Pewien śląski szpital, oddział COVID, chętnych do szczepień jak i zaszczepionych lekarzy 0%, personelu 0%.
Tak to tu zostawię
#szczepimysie
#Szczepienia",0,1
1346458129488371720,2021-01-05 14:06:48+00:00,"#18WUM K. Janda, A.  Seweryn, M. Seweryn, L. Miller + żona, W. Zborowski, K. Materna, R. Pazura, O. Łukaszewicz, E. Miszczak, A. Cieślak - jeszcze 7 osób. Kogoś pominęłam?  #szczepienia #covid #WUM #szczepimysie",0,0
1346435154684862466,2021-01-05 12:35:31+00:00,"Minęło 10 dni od startu szczepień na COVID-19 w Polsce i idzie tak sasinowo, że od razu rząd PiS przesunął szczepienie kolejnej grupy o te same 10 dni :). #szczepimysie",0,0
